"Sample","site","chamberID","year","mon","mday","gasName","Location","SampleType","Run","id.x","time_label","peakArea","fname","Known.conc","id.y","diameter_cm","height_cm","area_m2","volume_m3","lon","lat","Easting","Northing","mmntID","date","startTime","Soil_moisture_.","Nitrate_conc_g_kg","Pressure","Temp","GC_filename.x","time_mins.x","sampleName.x","GC_filename.y","time_mins.y","sampleName.y","GC_filename","time_mins","sampleName","Sec"
"19","EB","05",2013,6,6,"CO2","P1-C-07",1,24,24,30,193.298843383789,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.07,0.125036173011037,0.031346568573867,-3,56,5e+05,6e+05,"EB_2013_06_06_05",2013-06-06,1899-12-31 10:32:00,40.7,4,1000,16,"S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_05_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_05_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_05_30",1920
"19","EB","05",2013,6,6,"CH4","P1-C-07",1,24,24,30,4.40490102767944,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.07,0.125036173011037,0.031346568573867,-3,56,5e+05,6e+05,"EB_2013_06_06_05",2013-06-06,1899-12-31 10:32:00,40.7,4,1000,16,"S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_05_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_05_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_05_30",1920
"19","EB","05",2013,6,6,"N2O","P1-C-07",1,24,24,30,96.3540573120117,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.07,0.125036173011037,0.031346568573867,-3,56,5e+05,6e+05,"EB_2013_06_06_05",2013-06-06,1899-12-31 10:32:00,40.7,4,1000,16,"S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_05_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_05_30","S:\GC\James_2013_06_06.xls",32,"EB_2013_06_06_05_30",1920
"2","EB","01",2013,6,6,"N2O","P1-A-06",1,7,7,15,99.5572204589844,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,24.72,0.125036173011037,0.0309089419683284,-3,56,5e+05,6e+05,"EB_2013_06_06_01",2013-06-06,1899-12-31 10:25:00,33.5,5,1000,16,"S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_01_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_01_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_01_15",840
"2","EB","01",2013,6,6,"CO2","P1-A-06",1,7,7,15,71.3762359619141,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,24.72,0.125036173011037,0.0309089419683284,-3,56,5e+05,6e+05,"EB_2013_06_06_01",2013-06-06,1899-12-31 10:25:00,33.5,5,1000,16,"S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_01_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_01_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_01_15",840
"2","EB","01",2013,6,6,"CH4","P1-A-06",1,7,7,15,4.20139122009277,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,24.72,0.125036173011037,0.0309089419683284,-3,56,5e+05,6e+05,"EB_2013_06_06_01",2013-06-06,1899-12-31 10:25:00,33.5,5,1000,16,"S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_01_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_01_15","S:\GC\James_2013_06_06.xls",14,"EB_2013_06_06_01_15",840
"20","EB","05",2013,6,6,"N2O","P1-C-08",1,25,25,45,97.8912734985352,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.07,0.125036173011037,0.031346568573867,-3,56,5e+05,6e+05,"EB_2013_06_06_05",2013-06-06,1899-12-31 10:32:00,40.7,4,1000,16,"S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_05_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_05_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_05_45",2580
"20","EB","05",2013,6,6,"CH4","P1-C-08",1,25,25,45,4.11863946914673,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.07,0.125036173011037,0.031346568573867,-3,56,5e+05,6e+05,"EB_2013_06_06_05",2013-06-06,1899-12-31 10:32:00,40.7,4,1000,16,"S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_05_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_05_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_05_45",2580
"20","EB","05",2013,6,6,"CO2","P1-C-08",1,25,25,45,138.780624389648,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,25.07,0.125036173011037,0.031346568573867,-3,56,5e+05,6e+05,"EB_2013_06_06_05",2013-06-06,1899-12-31 10:32:00,40.7,4,1000,16,"S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_05_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_05_45","S:\GC\James_2013_06_06.xls",43,"EB_2013_06_06_05_45",2580
"21","EB","06",2013,6,6,"N2O","P1-D-01",1,26,26,0,110.67212677002,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,24.33,0.125036173011037,0.0304213008935853,-3,56,5e+05,6e+05,"EB_2013_06_06_06",2013-06-06,1899-12-31 10:33:00,38.6,6,1000,16.2,"S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_06_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_06_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_06_00",0
"21","EB","06",2013,6,6,"CH4","P1-D-01",1,26,26,0,4.27641296386719,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,24.33,0.125036173011037,0.0304213008935853,-3,56,5e+05,6e+05,"EB_2013_06_06_06",2013-06-06,1899-12-31 10:33:00,38.6,6,1000,16.2,"S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_06_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_06_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_06_00",0
"21","EB","06",2013,6,6,"CO2","P1-D-01",1,26,26,0,130.015930175781,"../data-raw/SRUC_template_GC_input.xlsx",NA,NA,39.9,24.33,0.125036173011037,0.0304213008935853,-3,56,5e+05,6e+05,"EB_2013_06_06_06",2013-06-06,1899-12-31 10:33:00,38.6,6,1000,16.2,"S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_06_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_06_00","S:\GC\James_2013_06_06.xls",0,"EB_2013_06_06_06_00",0
